Ubicazione;TipoVia;DescrizioneVia;Civico;CodiceVia;ZD;superficie_altri_usi;superficie_lavorativa;tipo_eser_pa;;;;;;;
"VIA TIRABOSCHI GEROLAMO N. 1 ; (z.d. 4)";VIA ;TIRABOSCHI GEROLAMO;1;4072;4;;55;TIPO A - REG.2003;;;;;;;
"VIA RIPAMONTI GIUSEPPE N. 207 ; (z.d. 5)";VIA ;RIPAMONTI GIUSEPPE;207;4066;5;;45;ACCONCIATORE;;;;;;;
"CSO LODI N. 56 ; (z.d. 4)";CSO ;LODI;56;4068;4;;55;TIPO A - REG.2003;;;;;;;
"VIA VOLTA ALESSANDRO N. 15 ; (z.d. 1)";VIA ;VOLTA ALESSANDRO;15;1018;1;;45;TIPO A - REG.2003;;;;;;;
"VIA MEUCCI ANTONIO N. 11 ; (z.d. 2)";VIA ;MEUCCI ANTONIO;11;2497;2;;50;ACCONCIATORE;;;;;;;
"codvia 4386 num.008; (z.d. 4)";;;;;;;50;ACCONCIATORE;;;;;;;
VIA BRUNO CASSINARI N. 1 (z.d. 4);VIA ;BRUNO CASSINARI;1;4386;4;;55;ACCONCIATORE;;;;;;;
"VIA MEDA GIUSEPPE N. 34 ; (z.d. 5)";VIA ;MEDA GIUSEPPE;34;5242;5;;48;TIPO A - REG.2003;;;;;;;
"codvia 4384 num.007; ()";;;;;;;45;ACCONCIATORE;;;;;;;
"VIA CADORE N. 29 ; (z.d. 4)";VIA ;CADORE;29;3077;4;;50;Estetista;;;;;;;
CSO VERCELLI N. 20 (z.d. 7);CSO ;VERCELLI;20;6193;7;;101;TIPO B CENTRO DI ABBRONZATURA;;;;;;;
VIA FILZI FABIO N. 8 (z.d. 2);VIA ;FILZI FABIO;8;1190;2;150;;Acconciatore;;;;;;;
VIA CANONICA LUIGI N. 24 (z.d. 1);VIA ;CANONICA LUIGI;24;7121;1;;48;TIPO A - REG.2003;;;;;;;
VLE TROYA CARLO N. 4 (z.d. 6);VLE ;TROYA CARLO;4;5140;6;;70;Acconciatore;;;;;;;
VIA FRESCOBALDI GEROLAMO N. 23 (z.d. 3);VIA ;FRESCOBALDI GEROLAMO;23;2254;3;;62;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
VIA BRIOSCHI FRANCESCO N. 39 (z.d. 5);VIA ;BRIOSCHI FRANCESCO;39;5243;5;;123;;;;;;;;
VIA BERGAMO N. 12 (z.d. 4);VIA ;BERGAMO;12;3189;4;;50;;;;;;;;
VLE SUZZANI GIOVANNI N. 19 (z.d. 9);VLE ;SUZZANI GIOVANNI;19;1446;9;;66;;;;;;;;
VLE SABOTINO N. 5 (z.d. 5);VLE ;SABOTINO;5;4046;5;;51;;;;;;;;
VIA CASTALDI PANFILO N. 29 (z.d. 3);VIA ;CASTALDI PANFILO;29;2119;3;;37;Acconciatore;;;;;;;
VIA DOGANA N. 3 (z.d. 1);VIA ;DOGANA;3;341;1;;50;Acconciatore;;;;;;;
VIA INGANNI ANGELO N. 27 (z.d. 6);VIA ;INGANNI ANGELO;27;6672;6;;64;ACCONCIATORE;;;;;;;
VIA BENACO N. 1 (z.d. 4);VIA ;BENACO;1;4143;4;;13;TIPO A - REG.2003;;;;;;;
VIA CAPECELATRO ALFONSO N. 23 (z.d. 7);VIA ;CAPECELATRO ALFONSO;23;6575;7;;45;Acconciatore;;;;;;;
VLE DELLE RIMEMBRANZE DI LAMBRATE N. 9 (z.d. 3);VLE ;DELLE RIMEMBRANZE DI LAMBRATE;9;2664;3;;41;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA MURATORI LODOVICO N. 52 ; (z.d. 4)";VIA ;MURATORI LODOVICO;52;4076;4;;27;TIPO A - REG.2003;;;;;;;
VIA DON BOSCO N. 19 (z.d. 4);VIA ;DON BOSCO;19;4144;4;;35;Parrucchiere per signora;;;;;;;
VIA TOSELLI PIETRO N. 1 (z.d. 2);VIA ;TOSELLI PIETRO;1;2360;2;;45;Acconciatore;;;;;;;
LGO DEI GELSOMINI N. 10 (z.d. 6);LGO ;DEI GELSOMINI;10;5394;6;;55;;;;;;;;
VLE CORSICA N. 91 (z.d. 4);VLE ;CORSICA;91;3262;4;;45;;;;;;;;
VIA PACINI GIOVANNI N. 22 (z.d. 3);VIA ;PACINI GIOVANNI;22;2571;3;41;34;Centro massaggi;;;;;;;
VIA LEGNONE N. 20 (z.d. 9);VIA ;LEGNONE;20;1298;9;;45;;;;;;;;
VIA ALEARDI ALEARDO N. 4 (z.d. 8);VIA ;ALEARDI ALEARDO;4;7209;8;1;40;Acconciatore;;;;;;;
VIA FELTRE N. 27 (z.d. 3);VIA ;FELTRE;27;2652;3;3;39;Parrucchiere per signora;;;;;;;
VIA SETTALA LODOVICO N. 20 (z.d. 3);VIA ;SETTALA LODOVICO;20;2111;3;;40;;;;;;;;
VIA CAPECELATRO ALFONSO N. 23 (z.d. 7);VIA ;CAPECELATRO ALFONSO;23;6575;7;;45;TIPO A - REG.2003;;;;;;;
VIA RENZO E LUCIA N. 1 (z.d. 5);VIA ;RENZO E LUCIA;1;5412;5;16;18;"Acconciatore;TIPO A - REG.2003";;;;;;;
VIA PIRANESI GIOVANNI BATTISTA N. 26 (z.d. 4);VIA ;PIRANESI GIOVANNI BATTISTA;26;3263;4;4;60;"TIPO B CENTRO DI ABBRONZATURA;TIPO A - REG.2003";;;;;;;
VIA PORPORA NICOLA ANTONIO N. 9 (z.d. 3);VIA ;PORPORA NICOLA ANTONIO;9;2229;3;;88;"TIPO A - REG.2003;Centro massaggi";;;;;;;
VIA S. GIOV. SUL MURO N. 14 (z.d. 1);VIA ;S. GIOV. SUL MURO;14;609;1;;32;Acconciatore;;;;;;;
VIA ACERBI ENRICO N. 34 (z.d. 9);VIA ;ACERBI ENRICO;34;1651;9;;45;TIPO B CENTRO DI ABBRONZATURA;;;;;;;
VIA ASIAGO N. 9;VIA ;ASIAGO;9;2459;2;;;Esecuzione di tatuaggi e piercing;;;;;;;
VIA VOLVINIO N. 31 (z.d. 5);VIA ;VOLVINIO;31;5333;5;;;Esecuzione di tatuaggi e piercing;;;;;;;
VIA PONALE N. 6;VIA ;PONALE;6;1616;9;;;Esecuzione di tatuaggi e piercing;;;;;;;
VIA ORNATO LUIGI N. 113;VIA ;ORNATO LUIGI;113;1591;9;;;Esecuzione di tatuaggi e piercing;;;;;;;
VIA CARDUCCI GIOSUE' N. 9;VIA ;CARDUCCI GIOSUE';9;602;1;;;Esecuzione di tatuaggi e piercing;;;;;;;
VIA TORRICELLI EVANGELISTA N. 19;VIA ;TORRICELLI EVANGELISTA;19;5240;5;;;Esecuzione di tatuaggi e piercing;;;;;;;
VIA RIPAMONTI GIUSEPPE N. 209;VIA ;RIPAMONTI GIUSEPPE;209;4066;5;;;Esecuzione di tatuaggi e piercing;;;;;;;
VIA MAZZOLARI DON PRIMO N. 31;VIA ;MAZZOLARI DON PRIMO;31;5457;6;;;Esecuzione di tatuaggi e piercing;;;;;;;
VIA VARCHI BENEDETTO N. 1;VIA ;VARCHI BENEDETTO;1;1252;9;;;Esecuzione di tatuaggi e piercing;;;;;;;
VIA MORAZZONE N. 10;VIA ;MORAZZONE;10;7131;1;;;Esecuzione di tatuaggi e piercing;;;;;;;
VLE CASSIODORO N. 12;VLE ;CASSIODORO;12;6359;8;;;Esecuzione di tatuaggi e piercing;;;;;;;
VIA ANFOSSI AUGUSTO N. 2;VIA ;ANFOSSI AUGUSTO;2;3071;4;;;Esecuzione di tatuaggi e piercing;;;;;;;
VIA AMORETTI CARLO N. 92;VIA ;AMORETTI CARLO;92;7340;9;;;Esecuzione di tatuaggi e piercing;;;;;;;
VIA DEGLI ARCIMBOLDI N. 5;VIA ;DEGLI ARCIMBOLDI;5;522;1;;;Esecuzione di tatuaggi e piercing;;;;;;;
VLE PAPINIANO N. 22;VLE ;PAPINIANO;22;5097;1;;;Esecuzione di tatuaggi e piercing;;;;;;;
VIA FRASSINETTI ROMEO N. 28;VIA ;FRASSINETTI ROMEO;28;6563;7;;;Esecuzione di tatuaggi e piercing;;;;;;;
VIA LONDONIO FRANCESCO N. 18;VIA ;LONDONIO FRANCESCO;18;7134;8;;;Esecuzione di tatuaggi e piercing;;;;;;;
VLE BEATRICE D'ESTE N. 48;VLE ;BEATRICE D'ESTE;48;4048;5;;;Esecuzione di tatuaggi e piercing;;;;;;;
VIA MAROCHETTI CARLO N. 21;VIA ;MAROCHETTI CARLO;21;4185;4;;;Esecuzione di tatuaggi e piercing;;;;;;;
VIA VAL TROMPIA N. 45 (z.d. 8);VIA ;VAL TROMPIA;45;7494;8;25;24;Esecuzione di tatuaggi e piercing;;;;;;;
VIA SACCARDO PIETRO ANDREA N. 31;VIA ;SACCARDO PIETRO ANDREA;31;2665;3;;;Esecuzione di tatuaggi e piercing;;;;;;;
VLE CORSICA N. 16 (z.d. 4);VLE ;CORSICA;16;3262;4;25;28;Esecuzione di tatuaggi e piercing;;;;;;;
VIA BARTOLINI LORENZO N. 49;VIA ;BARTOLINI LORENZO;49;7178;8;;;Esecuzione di tatuaggi e piercing;;;;;;;
VIA LODOVICO IL MORO N. 179;VIA ;LODOVICO IL MORO;179;5290;6;;;Esecuzione di tatuaggi e piercing;;;;;;;
VLE LUCANIA N. 9;VLE ;LUCANIA;9;4173;4;;;Esecuzione di tatuaggi e piercing;;;;;;;
VIA LODOVICO IL MORO N. 179;VIA ;LODOVICO IL MORO;179;5290;6;;;Esecuzione di tatuaggi e piercing;;;;;;;
VIA CARDUCCI GIOSUE' N. 9;VIA ;CARDUCCI GIOSUE';9;602;1;;;Esecuzione di tatuaggi e piercing;;;;;;;
VIA FRASSINETTI ROMEO N. 28;VIA ;FRASSINETTI ROMEO;28;6563;7;;;Esecuzione di tatuaggi e piercing;;;;;;;
PZA OBERDAN GUGLIELMO N. 3 (z.d. 3);PZA ;OBERDAN GUGLIELMO;3;2108;3;;;Esecuzione di tatuaggi e piercing;;;;;;;
VIA MORAZZONE N. 10;VIA ;MORAZZONE;10;7131;1;;;Esecuzione di tatuaggi e piercing;;;;;;;
VIA PLINIO CAIO SECONDO N. 61;VIA ;PLINIO CAIO SECONDO;61;2144;3;;;Centro massaggi;;;;;;;
via acerbi 46;;;;;;;;Centro massaggi;;;;;;;
VIA INAMA VIRGILIO N. 25 via inama 25 (z.d. 3);VIA ;INAMA VIRGILIO;25;3169;3;;;Centro massaggi;;;;;;;
VLE ARGONNE N. 1;VLE ;ARGONNE;1;3254;3;;;Centro massaggi;;;;;;;
CSO LODI N. 19 (z.d. 4);CSO ;LODI;19;4068;4;;90;Centro massaggi;;;;;;;
VIA VENINI GIULIO E CORRADO N. 33;VIA ;VENINI GIULIO E CORRADO;33;2258;2;;;Centro massaggi;;;;;;;
VIA BOSCOVICH RUGGERO N. 23;VIA ;BOSCOVICH RUGGERO;23;2131;2;;;Centro massaggi;;;;;;;
VLE ZARA N. 63;VLE ;ZARA;63;1170;9;;;Centro massaggi;;;;;;;
VIA ANFOSSI AUGUSTO N. 2;VIA ;ANFOSSI AUGUSTO;2;3071;4;;;Centro massaggi;;;;;;;
VIA PADOVA N. 238;VIA ;PADOVA;238;2275;2;;;Centro massaggi;;;;;;;
via valenza n. 5;;;;;;;;Centro massaggi;;;;;;;
VIA VARESINA N. 71;VIA ;VARESINA;71;7290;8;;;Centro massaggi;;;;;;;
VIA VAL MAIRA N. 15;VIA ;VAL MAIRA;15;1098;9;;;Centro massaggi;;;;;;;
varanini n. 12;;;;;;;;Centro massaggi;;;;;;;
PZA LIMA N. 2;PZA ;LIMA;2;2135;3;;;Centro massaggi;;;;;;;
m. d'agrate n. 6;;;;;;;;Centro massaggi;;;;;;;
VIA MAC MAHON N. 45;VIA ;MAC MAHON;45;7221;8;;;Centro massaggi;;;;;;;
VIA GIOIA MELCHIORRE N. 43;VIA ;GIOIA MELCHIORRE;43;1108;9;;;Centro massaggi;;;;;;;
VIA VENINI GIULIO E CORRADO N. 91;VIA ;VENINI GIULIO E CORRADO;91;2258;2;;;Centro massaggi;;;;;;;
via pistrucci;VIA ;PISTRUCCI SCIPIONE;;3215;4;;;Centro massaggi;;;;;;;
via paolo sarpi n. 58;;;;;;;;Centro massaggi;;;;;;;
VIA PISTRUCCI SCIPIONE N. 23 (z.d. 4);VIA ;PISTRUCCI SCIPIONE;23;3215;4;;;Centro massaggi;;;;;;;
VIA PULCI LUIGI N. 13;VIA ;PULCI LUIGI;13;1622;9;;;Centro massaggi;;;;;;;
via borgo pieve 108;;;;;;;;Centro massaggi;;;;;;;
via busoni, 9 - milano;;;;;;;;Centro massaggi;;;;;;;
via varchi, 1 - milano;;;;;;;;Centro massaggi;;;;;;;
VIA CORREGGIO N. 12 (z.d. 7);VIA ;CORREGGIO;12;6287;7;;35;Centro massaggi;;;;;;;
VIA VENINI GIULIO E CORRADO N. 91 via venini, 91 (z.d. 2);VIA ;VENINI GIULIO E CORRADO;91;2258;2;;;Centro massaggi;;;;;;;
via m. gioia, 43 - milano;;;;;;;;Centro massaggi;;;;;;;
via crescenzago, 34 - milano;;;;;;;;Centro massaggi;;;;;;;
VIA DE MARCHI EMILIO N. 5 (z.d. 2);VIA ;DE MARCHI EMILIO;5;1418;2;;40;Centro massaggi;;;;;;;
VIA PADOVA N. 12;VIA ;PADOVA;12;2275;2;;;Centro massaggi;;;;;;;
VIA LODOVICO IL MORO N. 163;VIA ;LODOVICO IL MORO;163;5290;6;;48;Centro massaggi;;;;;;;
VIA BRENO N. 2 (z.d. 4);VIA ;BRENO;2;4149;4;;53;Centro massaggi;;;;;;;
VIA PADOVA N. 238;VIA ;PADOVA;238;2275;2;;;Centro massaggi;;;;;;;
VIA RICCIARELLI DANIELE N. 39;VIA ;RICCIARELLI DANIELE;39;6553;7;;;Centro massaggi;;;;;;;
VIA PADOVA N. 154 vl.e padova, 154 (z.d. 2);VIA ;PADOVA;154;2275;2;;;Centro massaggi;;;;;;;
VIA STATUTO N. 13;VIA ;STATUTO;13;1029;1;;;Centro massaggi;;;;;;;
via maderna, 2 - milano;;;;;;;;Centro massaggi;;;;;;;
VIA VALENZA N. 5;VIA ;VALENZA;5;5121;6;;;Centro massaggi;;;;;;;
VIA COLA DI RIENZO N. 44;VIA ;COLA DI RIENZO;44;6094;6;;;Centro massaggi;;;;;;;
via mondovi n. 6;;;;;;;;Centro massaggi;;;;;;;
via val maira, 15 - milano;;;;;;;;Centro massaggi;;;;;;;
VIA MANCINELLI LUIGI N. 19;VIA ;MANCINELLI LUIGI;19;2422;3;;;Centro massaggi;;;;;;;
VIA MAC MAHON N. 73;VIA ;MAC MAHON;73;7221;8;;;Centro massaggi;;;;;;;
PLE CADORNA LUIGI N. 13;PLE ;CADORNA LUIGI;13;601;1;;;Centro massaggi;;;;;;;
PZA DE ANGELI ERNESTO N. 3 piazza de angeli, 3 (z.d. 7);PZA ;DE ANGELI ERNESTO;3;6276;7;;36;Centro massaggi;;;;;;;
VIA DEGLI OLIVETANI 4;VIA ;MILLELIRE DOMENICO;;6620;7;;;Centro massaggi;;;;;;;
VIA SAN GREGORIO N. 27 via san gregorio, 27 - milano (z.d. 3);VIA ;SAN GREGORIO;27;2123;3;;;Acconciatore;;;;;;;
VIA BRUNACCI VINCENZO N. 10;VIA ;BRUNACCI VINCENZO;10;5241;5;;;Centro massaggi;;;;;;;
VIA MELLONI MACEDONIO N. 30;VIA ;MELLONI MACEDONIO;30;3085;4;;;Centro massaggi;;;;;;;
via veniero n. 8;;;;;;;;Centro massaggi;;;;;;;
VLE ABRUZZI N. 66;VLE ;ABRUZZI;66;2177;3;;;Centro massaggi;;;;;;;
VIA MARCO D'AGRATE N. 6;VIA ;MARCO D'AGRATE;6;4276;5;;;Centro massaggi;;;;;;;
VIA TORRIANI NAPO N. 10 (z.d. 2);VIA ;TORRIANI NAPO;10;2126;2;;25;Centro massaggi;;;;;;;
PZA SEI FEBBRAIO N. 12 (z.d. 8);PZA ;SEI FEBBRAIO;12;6358;8;;67;Centro massaggi;;;;;;;
VIA AMADEO GIAN ANTONIO N. 40 via amadeo  40 (z.d. 3);VIA ;AMADEO GIAN ANTONIO;40;3228;3;;;Centro massaggi;;;;;;;
VIA TITO LIVIO N. 17 via tito livio  17 (z.d. 4);VIA ;TITO LIVIO;17;4086;4;;30;Centro massaggi;;;;;;;
VIA TEODOSIO N. 83 (z.d. 3);VIA ;TEODOSIO;83;2550;3;;77;Centro massaggi;;;;;;;
VLE ABRUZZI N. 92;VLE ;ABRUZZI;92;2177;3;;;Centro massaggi;;;;;;;
VIA LORENTEGGIO N. 145;VIA ;LORENTEGGIO;145;5132;6;;;Centro massaggi;;;;;;;
VIA TADINO ALESSANDRO N. 19 via tadino 19 (z.d. 3);VIA ;TADINO ALESSANDRO;19;2109;3;;;Centro massaggi;;;;;;;
via pacinotti  8;;;;;;;;Centro massaggi;;;;;;;
VIA MONTI VINCENZO N. 71;VIA ;MONTI VINCENZO;71;6155;8;;;Centro massaggi;;;;;;;
VIA CERNUSCHI ENRICO N. 1;VIA ;CERNUSCHI ENRICO;1;3051;1;;;Centro massaggi;;;;;;;
viale romagna  39;;;;;;;;Centro massaggi;;;;;;;
VIA VALENZA N. 5 via valenza  5 (z.d. 6);VIA ;VALENZA;5;5121;6;20;60;Centro massaggi;;;;;;;
VLE ZARA N. 63;VLE ;ZARA;63;1170;9;;;Centro massaggi;;;;;;;
VIA RIPAMONTI GIUSEPPE N. 27 (z.d. 5);VIA ;RIPAMONTI GIUSEPPE;27;4066;5;;136;Centro massaggi;;;;;;;
VIA BIXIO NINO N. 10 (z.d. 3);VIA ;BIXIO NINO;10;3133;3;;;Centro massaggi;;;;;;;
via niccolini  16;;;;;;;;Centro massaggi;;;;;;;
VIA PODGORA N. 12;VIA ;PODGORA;12;3055;1;;;Centro massaggi;;;;;;;
VIA FAA' DI BRUNO EMILIO N. 10 (z.d. 4);VIA ;FAA' DI BRUNO EMILIO;10;4095;4;;95;Centro massaggi;;;;;;;
VIA ARIMONDI GIUSEPPE N. 1 (z.d. 8);VIA ;ARIMONDI GIUSEPPE;1;7179;8;;30;Centro massaggi;;;;;;;
VIA ALCUINO N. 7 (z.d. 8);VIA ;ALCUINO;7;7165;8;;;Centro massaggi;;;;;;;
VIA PALMANOVA N. 54 (z.d. 3);VIA ;PALMANOVA;54;2390;3;;35;Centro massaggi;;;;;;;
via santo spirito 20;;;;;;;;Centro massaggi;;;;;;;
via delle forze armate, 13 - milano;;;;;;;;Centro massaggi;;;;;;;
RIP DI PTA TICINESE N. 129 (z.d. 6);RIP ;DI PTA TICINESE;129;5150;6;14;44;Centro massaggi;;;;;;;
via eustachi n. 19/21;;;;;;;;Centro massaggi;;;;;;;
VIA DEL TURCHINO N. 13;VIA ;DEL TURCHINO;13;3337;4;;;Centro massaggi;;;;;;;
VIA PACINOTTI FRA' ANTONIO N. 15;VIA ;PACINOTTI FRA' ANTONIO;15;7259;8;;;Centro massaggi;;;;;;;
VIA MARCO AURELIO N. 9;VIA ;MARCO AURELIO;9;2298;2;;;Centro massaggi;;;;;;;
VIA PORTINARI PIGELLO N. 1 via portinari pigello n. 1 (z.d. 2);VIA ;PORTINARI PIGELLO;1;1408;2;;24;Centro massaggi;;;;;;;
via varanini, 12 - milano;;;;;;;;Centro massaggi;;;;;;;
VLE RODI N. 91 via rodi n. 91 (z.d. 9);VLE ;RODI;91;1623;9;;;Centro massaggi;;;;;;;
via plinio  61;;;;;;;;Centro massaggi;;;;;;;
VIA PORPORA NICOLA ANTONIO N. 63;VIA ;PORPORA NICOLA ANTONIO;63;2229;3;;;Centro massaggi;;;;;;;
VIA MERCADANTE SAVERIO N. 9;VIA ;MERCADANTE SAVERIO;9;2232;3;;;Centro massaggi;;;;;;;
VIA GLUCK CRISTOFORO N. 1;VIA ;GLUCK CRISTOFORO;1;1215;2;;;Centro massaggi;;;;;;;
via alcuino 7;;;;;;;;Centro massaggi;;;;;;;
via pergolesi, 7 - milano;;;;;;;;Centro massaggi;;;;;;;
piazza durante  34;;;;;;;;Centro massaggi;;;;;;;
VIA LODOVICO IL MORO N. 61 (z.d. 6);VIA ;LODOVICO IL MORO;61;5290;6;;;Centro benessere;;;;;;;
VIA MERCADANTE SAVERIO N. 8;VIA ;MERCADANTE SAVERIO;8;2232;3;;;Centro massaggi;;;;;;;
via meucci;;;;;;;;Centro massaggi;;;;;;;
VIA VENINI GIULIO E CORRADO N. 71;VIA ;VENINI GIULIO E CORRADO;71;2258;2;;;Centro massaggi;;;;;;;
VIA DEL RICORDO N. 1;VIA ;DEL RICORDO;1;2496;2;;;Centro massaggi;;;;;;;
VIA MARCELLO BENEDETTO N. 1;VIA ;MARCELLO BENEDETTO;1;2128;3;;;Centro massaggi;;;;;;;
VLE CERTOSA N. 153;VLE ;CERTOSA;153;7174;8;;;Centro massaggi;;;;;;;
via l. pavoni  1;;;;;;;;Centro benessere;;;;;;;
VIA FARINI CARLO N. 55 via carlo farini  55 (z.d. 9);VIA ;FARINI CARLO;55;1114;9;;30;Centro massaggi;;;;;;;
VLE ABRUZZI N. 92;VLE ;ABRUZZI;92;2177;3;;;Centro massaggi;;;;;;;
VIA PAVONI LODOVICO N. 1;VIA ;PAVONI LODOVICO;1;1401;9;;;Centro massaggi;;;;;;;
VIA DEL TURCHINO N. 13;VIA ;DEL TURCHINO;13;3337;4;;;Centro massaggi;;;;;;;
VIA ASIAGO N. 2;VIA ;ASIAGO;2;2459;2;;;Centro massaggi;;;;;;;
via del ricordo  1;;;;;;;;Centro massaggi;;;;;;;
via costa  7;;;;;;;;Centro massaggi;;;;;;;
VIA PETROCCHI POLICARPO N. 21 via petrocchi  21 (z.d. 2);VIA ;PETROCCHI POLICARPO;21;2320;2;;;Centro massaggi;;;;;;;
VIA MONTI VINCENZO N. 32;VIA ;MONTI VINCENZO;32;6155;1;;;Centro massaggi;;;;;;;
via varesina 71;;;;;;;;Centro massaggi;;;;;;;
VIA ASTESANI ALESSANDRO N. 4;VIA ;ASTESANI ALESSANDRO;4;1558;9;;;Centro massaggi;;;;;;;
VIA ARIMONDI GIUSEPPE N. 1;VIA ;ARIMONDI GIUSEPPE;1;7179;8;;;Centro massaggi;;;;;;;
VIA DEGLI IMBRIANI N. 19A (z.d. 9);VIA ;DEGLI IMBRIANI;19A;1266;9;;49;Centro massaggi;;;;;;;
VIA MANCINELLI LUIGI N. 19;VIA ;MANCINELLI LUIGI;19;2422;3;;;Centro massaggi;;;;;;;
VLE MURILLO S.B. N. 18 (z.d. 7);VLE ;MURILLO S.B.;18;6551;7;;35;Centro massaggi;;;;;;;
via arzaga  15;;;;;;;;Centro massaggi;;;;;;;
VLE LOMBARDIA N. 64;VLE ;LOMBARDIA;64;2400;3;;;Centro massaggi;;;;;;;
VIA F.LLI ZOIA N. 220;VIA ;F.LLI ZOIA;220;6306;7;;;Centro massaggi;;;;;;;
VIA GIUSTI GIUSEPPE N. 37;VIA ;GIUSTI GIUSEPPE;37;7127;1;;;Centro massaggi;;;;;;;
VIA ARIMONDI GIUSEPPE N. 1;VIA ;ARIMONDI GIUSEPPE;1;7179;8;;;Centro massaggi;;;;;;;
VIA TORRIANI NAPO N. 22;VIA ;TORRIANI NAPO;22;2126;2;;;Centro massaggi;;;;;;;
VIA MELZO N. 22;VIA ;MELZO;22;2184;3;;;Centro massaggi;;;;;;;
via t . grossi  1;;;;;;;;Centro massaggi;;;;;;;
VIA SETTALA LODOVICO N. 61;VIA ;SETTALA LODOVICO;61;2111;3;;;Centro massaggi;;;;;;;
VIA BIUMI PAOLO GEROLAMO N. 3;VIA ;BIUMI PAOLO GEROLAMO;3;2465;2;;;Centro massaggi;;;;;;;
VIA AOSTA N. 13;VIA ;AOSTA;13;7227;8;;;Centro massaggi;;;;;;;
via valenza  5;;;;;;;;Centro massaggi;;;;;;;
VIA BOLTRAFFIO GIAN ANTONIO N. 12;VIA ;BOLTRAFFIO GIAN ANTONIO;12;1149;9;;;Centro massaggi;;;;;;;
via alcuino 7;;;;;;;;Centro massaggi;;;;;;;
VIA MARTIRI TRIESTINI N. 7;VIA ;MARTIRI TRIESTINI;7;6509;7;;;Centro massaggi;;;;;;;
VLE ZARA N. 11;VLE ;ZARA;11;1170;9;;;Centro massaggi;;;;;;;
VIA FRIULI N. 61 (z.d. 4);VIA ;FRIULI;61;3199;4;;30;Centro massaggi;;;;;;;
VLE BLIGNY N. 23;VLE ;BLIGNY;23;4045;5;;;Centro massaggi;;;;;;;
via lazzaretto  2;;;;;;;;Centro massaggi;;;;;;;
VIA BIXIO NINO N. 10;VIA ;BIXIO NINO;10;3133;3;;;Centro massaggi;;;;;;;
VIA DELLE FORZE ARMATE N. 397;VIA ;DELLE FORZE ARMATE;397;6643;7;;;Centro massaggi;;;;;;;
VIA MELLONI MACEDONIO N. 30;VIA ;MELLONI MACEDONIO;30;3085;4;;;Centro massaggi;;;;;;;
via de sanctis  45;;;;;;;;Centro massaggi;;;;;;;
PLE MEDAGLIE D'ORO N. 2;PLE ;MEDAGLIE D'ORO;2;4104;5;;;Centro benessere;;;;;;;
VIA MESSINA N. 15;VIA ;MESSINA;15;7211;8;;;Centro benessere;;;;;;;
VIA TRAIANO MARCO ULPIO N. 38;VIA ;TRAIANO MARCO ULPIO;38;7157;8;;;Centro benessere;;;;;;;
VIA BELLEZZA GIOVANNI N. 8;VIA ;BELLEZZA GIOVANNI;8;4067;5;;;Centro benessere;;;;;;;
VIA WASHINGTON GIORGIO N. 98;VIA ;WASHINGTON GIORGIO;98;6111;6;;;Centro benessere;;;;;;;
VLE ABRUZZI N. 68;VLE ;ABRUZZI;68;2177;3;;;Centro benessere;;;;;;;
VIA PONTE SEVESO N. 36 (z.d. 2);VIA ;PONTE SEVESO;36;1203;2;;;Centro benessere;;;;;;;
VIA GALLARATE N. 101;VIA ;GALLARATE;101;7420;8;12;108;Centro benessere;;;;;;;
VIA PLANA GIOVANNI ANTONIO N. 26;VIA ;PLANA GIOVANNI ANTONIO;26;7177;8;;;Centro benessere;;;;;;;
PLE MEDAGLIE D'ORO N. 2;PLE ;MEDAGLIE D'ORO;2;4104;5;;;Centro benessere;;;;;;;
VIA PALMANOVA N. 54;VIA ;PALMANOVA;54;2390;3;;;Centro benessere;;;;;;;
VIA COSTA ANDREA N. 7;VIA ;COSTA ANDREA;7;2276;2;;;Centro benessere;;;;;;;
PLE MEDAGLIE D'ORO N. 2;PLE ;MEDAGLIE D'ORO;2;4104;5;;40;Centro benessere;;;;;;;
VLE LUNIGIANA N. 12;VLE ;LUNIGIANA;12;1214;2;;;Centro benessere;;;;;;;
VIA LODOVICO IL MORO N. 61;VIA ;LODOVICO IL MORO;61;5290;6;;;Centro benessere;;;;;;;
VIA ARCO N. 1 (z.d. 1);VIA ;ARCO;1;714;1;;50;TIPO A - REG.2003;;;;;;;
VIA MASOLINO DA PANICALE N. 2 (z.d. 8);VIA ;MASOLINO DA PANICALE;2;7264;8;;45;Acconciatore;;;;;;;
VIA BONGHI RUGGERO N. 12 (z.d. 5);VIA ;BONGHI RUGGERO;12;5247;5;;40;Acconciatore;;;;;;;
VIA COL MOSCHIN N. 1 (z.d. 5);VIA ;COL MOSCHIN;1;5211;5;;50;TIPO A - REG.2003;;;;;;;
VIA BOTTESINI GIOVANNI N. 7 (z.d. 3);VIA ;BOTTESINI GIOVANNI;7;2567;3;;45;Acconciatore;;;;;;;
PLE F.LLI ZAVATTARI N. 4 (z.d. 7);PLE ;F.LLI ZAVATTARI;4;6537;7;;45;Acconciatore;;;;;;;
VIA OLGETTINA N. 65 (z.d. 3);VIA ;OLGETTINA;65;2530;3;;50;TIPO A - REG.2003;;;;;;;
